Name,Author,Publication Year,Publisher,ISBN,Availability
[Mechanical Engineering],"Made Easy Publications, GATE 2024 ",2023,Made Easy Publication,9788119100019,24
Let Us C,Kanetkar Yashavant P,2023,BPB Publications,9789355512765,9
Mrutyunjay,Sawant Shivaji,2023,Mehata Publishing House,9789357201674,59
[Computer Science and IT] (17th Ed.),Made Easy Publications GATE 2024,2023,Made Easy Publication,9789395548984,2
Aagantuk,Vaidya Vivek,2023,Vishwakaram Publications,9789395481625,2
Amazing Child Saylee,Agavane Manisha,2024,Vishwakarma Publications,9789393757548,2
Beneath Divided Skies,Sharma natasha,2024,Vishwakarma Publications,9789395481533,2
Bhagwatgeeta Ani Kuran Madhil Karmyog Parichay,Vakil Asim,2024,Vishwakarma Publications,9789395481151,2
Chhatrapati Shri Shivarai,Tapkir Sandip Bhanudas,2023,Vishwakarma Publications,9789393757586,2
Chhatrapati Shree Shivarai (Hindi Anuwad),Tapkir Sandeep,2023,Vishwkarma Publications,9789393757418,2
Communication Skills Simplified Through Stories And Exercises,Joshi Nitin,2023,Vishwakarma Publications,9789395481243,2
Cupid at Corporate ,Singh Meenakshi,2024,Vishwakarma Publications,9789395481618,2
Daivatanchi Satyakatha,Rana Ashok,2023,Vishwakarma Publications,9789393757432,2
The Iconic Iconociast,Lal Subodh; Fahmida Riaz,2023,Vishwakarma Publications,9789395481106,2
How to Stop Worring and Start living. [Anuwad DR. Jundare Vaishali ],Karnegi Del,2024,Vishwakarma Publications,9789395481465,2
How to win Friends and Influence People,Del Karnegi,2023,Vishwakarma Publications,9789393757456,2
Husband by Proxy,Mehta Purva A,2024,Vishwakarma Publications,9789395481403,2
Ichchapatra Kalachi Garaj Vyavasthapatra Mrityupatra Yabaddal Sarva kahi,Puranik Akanksha,2023,Vishwakarma Publications,9789395481175,2
IF THEN ELSE,Ranganathan Sandhya,2023,Vishwakarma Publications,9789395481083,2
Jaliyanwala Baug 13 April 1919 Bharatiya Swatantryacha Trigar Point,Sonavane Manohar,2023,Vishwakarma Publications,9789395481144,2
Jewels From The Treasure Trove,Kundu Anamika,2023,Vishwakarma Publications,9789395481953,2
Kabeer Vichar,Banakar Vijay,2024,Vishwakarma Publications,9789393757658,2
Karheche Pani (Sankshipt),Atre Aacharya,2023,Vishwakarma University,9789393757678,2
Keep Moving,Lifeschool,2023,Vishwakarma Publications,9789389624311,2
Keep Moving 2,Lifesschool,2023,Vishwakarma Publications,9788194317777,2
Kiwiyo Safar New zealandchi (Marathi),Lonkar Vijay,2023,Null,9789395481110,2
Letters To My Mother,Pareek Vikkas Arun,2023,Vishwakarma Publications,9789393757036,2
Lokkaletil Gan (Marathi),Dekhane Ramchandra,2023,Vishwakarma Publications,9789395481809,2
Lover By Command and other Spy stories. [Counter operations by India's Best],Saraf V K,2023,Vishwakarma Publications,9789395481397,2
Lt Colonel Purohit. [Vishvasghatacha Bali],Mishra Smita,2023,Vishwakarma Publications,9789395481298,2
Madam Commissioner. [The Extraordinary Life of an Indian Police Chief],Borwankar Meera,2023,Vishwakarma Publications,9789361137679,2
Maharashtrachi Phule Sanskruti arthat Bahujan Sanskruti,Shende S R,2023,Vishwakarma Publications,9789395481168,2
Malawani Mulakhatil Itihasache Paharekari,Tapkir Sandeep Bhanudas,2023,Vishwakarma Publications,9789390869312,2
Marga Yashacha Marga Sukhacha,Ghodekar Sudhakar & Salunkhe Sanjay,2023,Vishwakarma Publications,9789393757517,2
Not Before You,Gwalani Lata,2024,Vishwakarma Publications,9789395481502,2
PanchayatRaj,joshi Smita,2024,Vishwakarma Publications,9789395481489,2
Phoenix in Flames,Singh Rachna,2023,Vishwakarma Publications,9789395481601,2
Pranayama. [AN ART OF BREATHING KNOWLEDGE AND SCIENCE],Karajgaonkar Giridhar,2024,Vishwakarma Publications,9789395481977,2
Anuwad Prerak Utprerak,Chandramouli Venkatesan & Kale Neha,2023,Vishwakarma Publications,9789390869633,2
Raising. [Inspiring Stories of Growth & Resilience],Pathak Preeti,2023,Vishwakarma Publications,9789395481472,2
Rangadya Durgvaibhavacha Khajina,Tapkir Sandeep Bhanudas,2023,Vishwakarma Publications,9789390869541,2
Satyache Prayog athava Aatmakatha,Gandhi Mahatma,2024,Vishwakarma Publications,9789393757647,2
SHINING DARKNESS,Sharangpani Shrinivas,2024,Vishwakarma Publications,9789395481199,2
Shrikrushana Bhagwatgeeta Vayvasthapan Ani Vyaktimattwa vikas,Thakur Dadaji,2023,Vishwakarma Publications,9789395481458,2
Shunyatoon Suryakade,Datar Aarati,2023,Vishwakarma Publications,9789395481182,2
Story of Ordinary,Bhalla Deepika,2023,Vishwakarma Publications,9789393757999,2
Swami Vivekananda ani Mahatma Gandhi,Patil Vishwas,2024,Vishwakarma Publications,9789395481571,2
10 Sutras to Surf the Corporate Tide Called Office Politics,Ghosh Indranil,2023,Vishwakarma Publications,9789395481656,2
Adventures of Little Kanya The Moscow Mosaic,Sane Ashwini R,2024,Vishwakarma Publications,9789395481427,2
Art of Beetfulness. [Aajachya Digital Yugat Shant Rahane],Nandan Nilekani; Bhojawani Tanuj & Anuwad -- Nandapurkar; Fadake Suchita,2024,Vishwakarma Publications,9789395481427,2
Art of Public Speaking,Karnegi Del & Anuwad- Panase Shruti,2024,Vishwakarma Publications,9789395481212,2
The Empress of Indraprastha Part 2 Building on Emprie,Raje Sonali,2023,Vishwakarma Publications,9789395481267,2
The Eye of the Fish,Nair Samyuktha,2024,Vishwakarma Publications,9789395481939,2
The Making of Star,Khandekar Kohali & Khandekar Vaneeta,2023,Vishwakarma Publications,9789393757302,2
